symbol,companyName,sector
NIFTY 50,NIFTY 50,Unknown
COALINDIA,Coal India Limited,Unknown
LT,Larsen & Toubro Limited,Unknown
BEL,Bharat Electronics Limited,Unknown
NESTLEIND,Nestle India Limited,Unknown
MARUTI,Maruti Suzuki India Limited,Unknown
ULTRACEMCO,UltraTech Cement Limited,Unknown
TMPV,Tata Motors Passenger Vehicles Limited,Unknown
HINDALCO,Hindalco Industries Limited,Unknown
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Unknown
TITAN,Titan Company Limited,Unknown
JIOFIN,Jio Financial Services Limited,Unknown
GRASIM,Grasim Industries Limited,Unknown
SHRIRAMFIN,Shriram Finance Limited,Unknown
JSWSTEEL,JSW Steel Limited,Unknown
ETERNAL,ETERNAL LIMITED,Unknown
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Unknown
SBILIFE,SBI Life Insurance Company Limited,Unknown
WIPRO,Wipro Limited,Unknown
SBIN,State Bank of India,Unknown
ASIANPAINT,Asian Paints Limited,Unknown
AXISBANK,Axis Bank Limited,Unknown
HCLTECH,HCL Technologies Limited,Unknown
ICICIBANK,ICICI Bank Limited,Unknown
ADANIENT,Adani Enterprises Limited,Unknown
TATASTEEL,Tata Steel Limited,Unknown
ONGC,Oil & Natural Gas Corporation Limited,Unknown
ITC,ITC Limited,Unknown
HINDUNILVR,Hindustan Unilever Limited,Unknown
TCS,Tata Consultancy Services Limited,Unknown
KOTAKBANK,Kotak Mahindra Bank Limited,Unknown
M&M,Mahindra & Mahindra Limited,Unknown
SUNPHARMA,Sun Pharmaceutical Industries Limited,Unknown
TRENT,Trent Limited,Unknown
EICHERMOT,Eicher Motors Limited,Unknown
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Unknown
MAXHEALTH,Max Healthcare Institute Limited,Unknown
HDFCBANK,HDFC Bank Limited,Unknown
BAJAJFINSV,Bajaj Finserv Limited,Unknown
NTPC,NTPC Limited,Unknown
BAJFINANCE,Bajaj Finance Limited,Unknown
RELIANCE,Reliance Industries Limited,Unknown
POWERGRID,Power Grid Corporation of India Limited,Unknown
TECHM,Tech Mahindra Limited,Unknown
BAJAJ-AUTO,Bajaj Auto Limited,Unknown
INFY,Infosys Limited,Unknown
INDIGO,InterGlobe Aviation Limited,Unknown
BHARTIARTL,Bharti Airtel Limited,Unknown
HDFCLIFE,HDFC Life Insurance Company Limited,Unknown
CIPLA,Cipla Limited,Unknown
DRREDDY,Dr. Reddy's Laboratories Limited,Unknown
